"Cohort"	"Form.Name"	"Form.Type"	"Table.Name"	"Variable.Name"	"Variable.Description"	"Data.Type"	"Code"	"Code.Description"	"Specify"	"FixedUnit"	"Logline"	"LowerRange"	"UpperRange"
"2757"	"Registry - SLE"	"Urine"	"Visit Form"	"URINE"	"URRBCSLE"	"Due to active SLE?"	"RadioButton"	"1"	"Yes"	"FALSE"	NA	"FALSE"	NA	NA
"2758"	"Registry - SLE"	"Urine"	"Visit Form"	"URINE"	"URRBCSLE"	"Due to active SLE?"	"RadioButton"	"99"	"Unknown"	"FALSE"	NA	"FALSE"	NA	NA
"2759"	"Registry - SLE"	"Urine"	"Visit Form"	"URINE"	"CASTS"	"Casts in last 30 days"	"RadioButton (Vertical)"	"1"	"White cell casts"	"FALSE"	NA	"FALSE"	NA	NA
"2760"	"Registry - SLE"	"Urine"	"Visit Form"	"URINE"	"CASTS"	"Casts in last 30 days"	"RadioButton (Vertical)"	"2"	"Red cell casts"	"FALSE"	NA	"FALSE"	NA	NA
"2761"	"Registry - SLE"	"Urine"	"Visit Form"	"URINE"	"CASTS"	"Casts in last 30 days"	"RadioButton (Vertical)"	"3"	"Hyaline casts"	"FALSE"	NA	"FALSE"	NA	NA
"2762"	"Registry - SLE"	"Urine"	"Visit Form"	"URINE"	"CASTS"	"Casts in last 30 days"	"RadioButton (Vertical)"	"97"	"Not Done"	"FALSE"	NA	"FALSE"	NA	NA
"2763"	"Registry - SLE"	"Biopsy Form"	"Visit Form"	"BIOPSY"	"BIOPDTC"	"Date of Collection"	"DateTime"	NA	NA	NA	NA	"FALSE"	NA	NA
"2764"	"Registry - SLE"	"Biopsy Form"	"Visit Form"	"BIOPSY"	"NONRBIOP"	"Has the subject [ever - baseline / since last visit - Followup] had any non-renal biopsies consistent with disease diagnosis?"	"RadioButton (Vertical)"	"0"	"No"	"FALSE"	NA	"FALSE"	NA	NA
"2765"	"Registry - SLE"	"Biopsy Form"	"Visit Form"	"BIOPSY"	"NONRBIOP"	"Has the subject [ever - baseline / since last visit - Followup] had any non-renal biopsies consistent with disease diagnosis?"	"RadioButton (Vertical)"	"1"	"Yes"	"FALSE"	NA	"FALSE"	NA	NA
"2766"	"Registry - SLE"	"Biopsy Form"	"Visit Form"	"BIOPSY"	"NONRBIOP"	"Has the subject [ever - baseline / since last visit - Followup] had any non-renal biopsies consistent with disease diagnosis?"	"RadioButton (Vertical)"	"99"	"Unknown"	"FALSE"	NA	"FALSE"	NA	NA
"2767"	"Registry - SLE"	"Biopsy Form"	"Visit Form"	"BIOPSY"	"SKIN"	"Skin"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"2768"	"Registry - SLE"	"Biopsy Form"	"Visit Form"	"BIOPSY"	"LACGLAND"	"Lacrimal Gland"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"2769"	"Registry - SLE"	"Biopsy Form"	"Visit Form"	"BIOPSY"	"CONJUNCT"	"Conjunctiva"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"2770"	"Registry - SLE"	"Biopsy Form"	"Visit Form"	"BIOPSY"	"LIVER1"	"Liver"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"2771"	"Registry - SLE"	"Biopsy Form"	"Visit Form"	"BIOPSY"	"LUNG"	"Lung"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"2772"	"Registry - SLE"	"Biopsy Form"	"Visit Form"	"BIOPSY"	"PAROTIDG"	"Parotid Gland"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"2773"	"Registry - SLE"	"Biopsy Form"	"Visit Form"	"BIOPSY"	"MINSALGL"	"Minor Salivary Gland"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"2774"	"Registry - SLE"	"Biopsy Form"	"Visit Form"	"BIOPSY"	"OTHER"	"Other"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"2775"	"Registry - SLE"	"Biopsy Form"	"Visit Form"	"BIOPSY"	"RENLBIOP"	"Has the subject [ever - baseline / since last visit - Followup] had one or more renal biopsies?"	"RadioButton (Vertical)"	"0"	"No"	"FALSE"	NA	"FALSE"	NA	NA
"2776"	"Registry - SLE"	"Biopsy Form"	"Visit Form"	"BIOPSY"	"RENLBIOP"	"Has the subject [ever - baseline / since last visit - Followup] had one or more renal biopsies?"	"RadioButton (Vertical)"	"1"	"Yes"	"FALSE"	NA	"FALSE"	NA	NA
"2777"	"Registry - SLE"	"Biopsy Form"	"Visit Form"	"BIOPSY"	"RENLBIOP"	"Has the subject [ever - baseline / since last visit - Followup] had one or more renal biopsies?"	"RadioButton (Vertical)"	"99"	"Unknown"	"FALSE"	NA	"FALSE"	NA	NA
"2778"	"Registry - SLE"	"Biopsy Form"	"Visit Form"	"BIOPSY"	"SLICCBOX"	"SLICC Checkbox"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"2779"	"Registry - SLE"	"Biopsy Form"	"Visit Form"	"BIOPSY"	"BIOPSDTC"	"Biopsy Date:"	"DateTime"	NA	NA	NA	NA	"TRUE"	NA	NA
"2780"	"Registry - SLE"	"Biopsy Form"	"Visit Form"	"BIOPSY"	"WHO1"	"WHO Class I"	"CheckBox"	NA	NA	NA	NA	"TRUE"	NA	NA
"2781"	"Registry - SLE"	"Biopsy Form"	"Visit Form"	"BIOPSY"	"WHO2"	"WHO Class II"	"CheckBox"	NA	NA	NA	NA	"TRUE"	NA	NA
"2782"	"Registry - SLE"	"Biopsy Form"	"Visit Form"	"BIOPSY"	"WHO3"	"WHO Class III"	"CheckBox"	NA	NA	NA	NA	"TRUE"	NA	NA
"2783"	"Registry - SLE"	"Biopsy Form"	"Visit Form"	"BIOPSY"	"WHO4"	"WHO Class IV"	"CheckBox"	NA	NA	NA	NA	"TRUE"	NA	NA
"2784"	"Registry - SLE"	"Biopsy Form"	"Visit Form"	"BIOPSY"	"WHO5"	"WHO Class V"	"CheckBox"	NA	NA	NA	NA	"TRUE"	NA	NA
"2785"	"Registry - SLE"	"Biopsy Form"	"Visit Form"	"BIOPSY"	"WHO6"	"WHO Class VI"	"CheckBox"	NA	NA	NA	NA	"TRUE"	NA	NA
"2786"	"Registry - SLE"	"Biopsy Form"	"Visit Form"	"BIOPSY"	"WHOUNK"	"WHO Class Unknown"	"CheckBox"	NA	NA	NA	NA	"TRUE"	NA	NA
"2787"	"Registry - SLE"	"Biopsy Form"	"Visit Form"	"BIOPSY"	"WHOND"	"WHO Class Not Done"	"CheckBox"	NA	NA	NA	NA	"TRUE"	NA	NA
"2788"	"Registry - SLE"	"Biopsy Form"	"Visit Form"	"BIOPSY"	"ISNRPS1"	"ISN/RSP Class I"	"CheckBox"	NA	NA	NA	NA	"TRUE"	NA	NA
"2789"	"Registry - SLE"	"Biopsy Form"	"Visit Form"	"BIOPSY"	"ISNRPS2"	"ISN/RPS Class II"	"CheckBox"	NA	NA	NA	NA	"TRUE"	NA	NA
"2790"	"Registry - SLE"	"Biopsy Form"	"Visit Form"	"BIOPSY"	"ISNRPS3"	"ISN/RPS Class III"	"CheckBox"	NA	NA	NA	NA	"TRUE"	NA	NA
"2791"	"Registry - SLE"	"Biopsy Form"	"Visit Form"	"BIOPSY"	"ACTCHRO1"	"Check one:"	"RadioButton (Vertical)"	"1"	"Active"	"FALSE"	NA	"TRUE"	NA	NA
"2792"	"Registry - SLE"	"Biopsy Form"	"Visit Form"	"BIOPSY"	"ACTCHRO1"	"Check one:"	"RadioButton (Vertical)"	"2"	"Active/chronic"	"FALSE"	NA	"TRUE"	NA	NA
"2793"	"Registry - SLE"	"Biopsy Form"	"Visit Form"	"BIOPSY"	"ACTCHRO1"	"Check one:"	"RadioButton (Vertical)"	"3"	"Chronic"	"FALSE"	NA	"TRUE"	NA	NA
"2794"	"Registry - SLE"	"Biopsy Form"	"Visit Form"	"BIOPSY"	"ACTCHRO1"	"Check one:"	"RadioButton (Vertical)"	"99"	"Unknown"	"FALSE"	NA	"TRUE"	NA	NA
"2795"	"Registry - SLE"	"Biopsy Form"	"Visit Form"	"BIOPSY"	"ISNRPS4"	"ISN/RPS Class IV"	"CheckBox"	NA	NA	NA	NA	"TRUE"	NA	NA
"2796"	"Registry - SLE"	"Biopsy Form"	"Visit Form"	"BIOPSY"	"SEGGLOB1"	"Check one:"	"RadioButton (Vertical)"	"1"	"Segmented (active)"	"FALSE"	NA	"TRUE"	NA	NA
"2797"	"Registry - SLE"	"Biopsy Form"	"Visit Form"	"BIOPSY"	"SEGGLOB1"	"Check one:"	"RadioButton (Vertical)"	"2"	"Segmented (active/chronic)"	"FALSE"	NA	"TRUE"	NA	NA
"2798"	"Registry - SLE"	"Biopsy Form"	"Visit Form"	"BIOPSY"	"SEGGLOB1"	"Check one:"	"RadioButton (Vertical)"	"3"	"Global (chronic)"	"FALSE"	NA	"TRUE"	NA	NA
"2799"	"Registry - SLE"	"Biopsy Form"	"Visit Form"	"BIOPSY"	"SEGGLOB1"	"Check one:"	"RadioButton (Vertical)"	"4"	"Global (active)"	"FALSE"	NA	"TRUE"	NA	NA
"2800"	"Registry - SLE"	"Biopsy Form"	"Visit Form"	"BIOPSY"	"SEGGLOB1"	"Check one:"	"RadioButton (Vertical)"	"5"	"Segmented (chronic)"	"FALSE"	NA	"TRUE"	NA	NA
"2801"	"Registry - SLE"	"Biopsy Form"	"Visit Form"	"BIOPSY"	"SEGGLOB1"	"Check one:"	"RadioButton (Vertical)"	"99"	"Unknown"	"FALSE"	NA	"TRUE"	NA	NA
"2802"	"Registry - SLE"	"Biopsy Form"	"Visit Form"	"BIOPSY"	"ISNRPS5"	"ISN/RPS Class V"	"CheckBox"	NA	NA	NA	NA	"TRUE"	NA	NA
"2803"	"Registry - SLE"	"Biopsy Form"	"Visit Form"	"BIOPSY"	"ISNRPS6"	"ISN/RPS Class VI"	"CheckBox"	NA	NA	NA	NA	"TRUE"	NA	NA
"2804"	"Registry - SLE"	"Biopsy Form"	"Visit Form"	"BIOPSY"	"ISNRPSUK"	"ISN/RPS Class Unknown"	"CheckBox"	NA	NA	NA	NA	"TRUE"	NA	NA
"2805"	"Registry - SLE"	"Biopsy Form"	"Visit Form"	"BIOPSY"	"ISNRPSND"	"ISN/RPS Class Not Done"	"CheckBox"	NA	NA	NA	NA	"TRUE"	NA	NA
"2806"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"SEIZUREB"	"Seizure"	"RadioButton"	"0"	"No"	"FALSE"	NA	"FALSE"	NA	NA
"2807"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"SEIZUREB"	"Seizure"	"RadioButton"	"8"	"Yes"	"FALSE"	NA	"FALSE"	NA	NA
"2808"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"PSYCHOB"	"Psychosis"	"RadioButton"	"0"	"No"	"FALSE"	NA	"FALSE"	NA	NA
"2809"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"PSYCHOB"	"Psychosis"	"RadioButton"	"8"	"Yes"	"FALSE"	NA	"FALSE"	NA	NA
"2810"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"OBS"	"Organic Brain Syndrome"	"RadioButton"	"0"	"No"	"FALSE"	NA	"FALSE"	NA	NA
"2811"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"OBS"	"Organic Brain Syndrome"	"RadioButton"	"8"	"Yes"	"FALSE"	NA	"FALSE"	NA	NA
"2812"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"VISDIST"	"Visual Disturbance"	"RadioButton"	"0"	"No"	"FALSE"	NA	"FALSE"	NA	NA
"2813"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"VISDIST"	"Visual Disturbance"	"RadioButton"	"8"	"Yes"	"FALSE"	NA	"FALSE"	NA	NA
"2814"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"CRANNERV"	"Cranial Nerve Disorder"	"RadioButton"	"0"	"No"	"FALSE"	NA	"FALSE"	NA	NA
"2815"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"CRANNERV"	"Cranial Nerve Disorder"	"RadioButton"	"8"	"Yes"	"FALSE"	NA	"FALSE"	NA	NA
"2816"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"LUPHEAD"	"Lupus Headache"	"RadioButton"	"0"	"No"	"FALSE"	NA	"FALSE"	NA	NA
"2817"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"LUPHEAD"	"Lupus Headache"	"RadioButton"	"8"	"Yes"	"FALSE"	NA	"FALSE"	NA	NA
"2818"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"CVA"	"CVA"	"RadioButton"	"0"	"No"	"FALSE"	NA	"FALSE"	NA	NA
"2819"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"CVA"	"CVA"	"RadioButton"	"8"	"Yes"	"FALSE"	NA	"FALSE"	NA	NA
"2820"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"VASCULIT"	"Vasculitis"	"RadioButton"	"0"	"No"	"FALSE"	NA	"FALSE"	NA	NA
"2821"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"VASCULIT"	"Vasculitis"	"RadioButton"	"8"	"Yes"	"FALSE"	NA	"FALSE"	NA	NA
"2822"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"ARTHRIT1"	"Arthritis"	"RadioButton"	"0"	"No"	"FALSE"	NA	"FALSE"	NA	NA
"2823"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"ARTHRIT1"	"Arthritis"	"RadioButton"	"4"	"Yes"	"FALSE"	NA	"FALSE"	NA	NA
"2824"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"MYOSITIS"	"Myositis"	"RadioButton"	"0"	"No"	"FALSE"	NA	"FALSE"	NA	NA
"2825"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"MYOSITIS"	"Myositis"	"RadioButton"	"4"	"Yes"	"FALSE"	NA	"FALSE"	NA	NA
"2826"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"URINCAST"	"Urinary Casts"	"RadioButton"	"0"	"No"	"FALSE"	NA	"FALSE"	NA	NA
"2827"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"URINCAST"	"Urinary Casts"	"RadioButton"	"4"	"Yes"	"FALSE"	NA	"FALSE"	NA	NA
"2828"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"HEMATURI"	"Hematuria"	"RadioButton"	"0"	"No"	"FALSE"	NA	"FALSE"	NA	NA
"2829"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"HEMATURI"	"Hematuria"	"RadioButton"	"4"	"Yes"	"FALSE"	NA	"FALSE"	NA	NA
"2830"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"PROTEINU"	"Proteinuria"	"RadioButton"	"0"	"No"	"FALSE"	NA	"FALSE"	NA	NA
"2831"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"PROTEINU"	"Proteinuria"	"RadioButton"	"4"	"Yes"	"FALSE"	NA	"FALSE"	NA	NA
"2832"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"PYURIA"	"Pyuria"	"RadioButton"	"0"	"No"	"FALSE"	NA	"FALSE"	NA	NA
"2833"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"PYURIA"	"Pyuria"	"RadioButton"	"4"	"Yes"	"FALSE"	NA	"FALSE"	NA	NA
"2834"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"RASH"	"Rash"	"RadioButton"	"0"	"No"	"FALSE"	NA	"FALSE"	NA	NA
"2835"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"RASH"	"Rash"	"RadioButton"	"2"	"Yes"	"FALSE"	NA	"FALSE"	NA	NA
"2836"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"ALOPECIB"	"Alopecia"	"RadioButton"	"0"	"No"	"FALSE"	NA	"FALSE"	NA	NA
"2837"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"ALOPECIB"	"Alopecia"	"RadioButton"	"2"	"Yes"	"FALSE"	NA	"FALSE"	NA	NA
"2838"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"MUCULCER"	"Mucosal Ulcers"	"RadioButton"	"0"	"No"	"FALSE"	NA	"FALSE"	NA	NA
"2839"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"MUCULCER"	"Mucosal Ulcers"	"RadioButton"	"2"	"Yes"	"FALSE"	NA	"FALSE"	NA	NA
"2840"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"PLEURISY"	"Pleurisy"	"RadioButton"	"0"	"No"	"FALSE"	NA	"FALSE"	NA	NA
"2841"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"PLEURISY"	"Pleurisy"	"RadioButton"	"2"	"Yes"	"FALSE"	NA	"FALSE"	NA	NA
"2842"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"PERICARD"	"Pericarditis"	"RadioButton"	"0"	"No"	"FALSE"	NA	"FALSE"	NA	NA
"2843"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"PERICARD"	"Pericarditis"	"RadioButton"	"2"	"Yes"	"FALSE"	NA	"FALSE"	NA	NA
"2844"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"LOWCOMP"	"Low Complement"	"RadioButton"	"0"	"No"	"FALSE"	NA	"FALSE"	NA	NA
"2845"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"LOWCOMP"	"Low Complement"	"RadioButton"	"2"	"Yes"	"FALSE"	NA	"FALSE"	NA	NA
"2846"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"INCDNA"	"Increased dsDNA Binding"	"RadioButton"	"0"	"No"	"FALSE"	NA	"FALSE"	NA	NA
"2847"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"INCDNA"	"Increased dsDNA Binding"	"RadioButton"	"2"	"Yes"	"FALSE"	NA	"FALSE"	NA	NA
"2848"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"FEVERB1"	"Fever"	"RadioButton"	"0"	"No"	"FALSE"	NA	"FALSE"	NA	NA
"2849"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"FEVERB1"	"Fever"	"RadioButton"	"1"	"Yes"	"FALSE"	NA	"FALSE"	NA	NA
"2850"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"THROMB1"	"Thrombocytopenia"	"RadioButton"	"0"	"No"	"FALSE"	NA	"FALSE"	NA	NA
"2851"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"THROMB1"	"Thrombocytopenia"	"RadioButton"	"1"	"Yes"	"FALSE"	NA	"FALSE"	NA	NA
"2852"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"LEUKOPB"	"Leukopenia"	"RadioButton"	"0"	"No"	"FALSE"	NA	"FALSE"	NA	NA
"2853"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"LEUKOPB"	"Leukopenia"	"RadioButton"	"1"	"Yes"	"FALSE"	NA	"FALSE"	NA	NA
"2854"	"Registry - SLE"	"SLEDAI Form"	"Visit Form"	"SLEDAI"	"SLEDAISC"	"TOTAL SCORE (SUM)"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"2855"	"Registry - All"	"Biological Samples"	"Visit Form"	"SAMPLES"	"TYPSAMPL"	"Sample collected:"	"SearchList"	"1"	"Whole blood"	"FALSE"	NA	"TRUE"	NA	NA
"2856"	"Registry - All"	"Biological Samples"	"Visit Form"	"SAMPLES"	"TYPSAMPL"	"Sample collected:"	"SearchList"	"2"	"Serum"	"FALSE"	NA	"TRUE"	NA	NA
"2857"	"Registry - All"	"Biological Samples"	"Visit Form"	"SAMPLES"	"TYPSAMPL"	"Sample collected:"	"SearchList"	"3"	"Plasma"	"FALSE"	NA	"TRUE"	NA	NA
"2858"	"Registry - All"	"Biological Samples"	"Visit Form"	"SAMPLES"	"TYPSAMPL"	"Sample collected:"	"SearchList"	"4"	"RNA (purified or as Tempus/Paxgene tube)"	"FALSE"	NA	"TRUE"	NA	NA
"2859"	"Registry - All"	"Biological Samples"	"Visit Form"	"SAMPLES"	"TYPSAMPL"	"Sample collected:"	"SearchList"	"5"	"DNA (purified or as whole blood)"	"FALSE"	NA	"TRUE"	NA	NA
"2860"	"Registry - All"	"Biological Samples"	"Visit Form"	"SAMPLES"	"TYPSAMPL"	"Sample collected:"	"SearchList"	"6"	"Red blood cells (RBC)"	"FALSE"	NA	"TRUE"	NA	NA
"2861"	"Registry - All"	"Biological Samples"	"Visit Form"	"SAMPLES"	"TYPSAMPL"	"Sample collected:"	"SearchList"	"7"	"Peripheral blood mononuclear cells (PBMC)"	"FALSE"	NA	"TRUE"	NA	NA
"2862"	"Registry - All"	"Biological Samples"	"Visit Form"	"SAMPLES"	"TYPSAMPL"	"Sample collected:"	"SearchList"	"8"	"Synovial fluid"	"FALSE"	NA	"TRUE"	NA	NA
"2863"	"Registry - All"	"Biological Samples"	"Visit Form"	"SAMPLES"	"TYPSAMPL"	"Sample collected:"	"SearchList"	"9"	"Synovial fluid serum"	"FALSE"	NA	"TRUE"	NA	NA
"2864"	"Registry - All"	"Biological Samples"	"Visit Form"	"SAMPLES"	"TYPSAMPL"	"Sample collected:"	"SearchList"	"10"	"Synovial fluid mononuclear cells (SFMC)"	"FALSE"	NA	"TRUE"	NA	NA
"2865"	"Registry - All"	"Biological Samples"	"Visit Form"	"SAMPLES"	"TYPSAMPL"	"Sample collected:"	"SearchList"	"11"	"Urine"	"FALSE"	NA	"TRUE"	NA	NA
"2866"	"Registry - All"	"Biological Samples"	"Visit Form"	"SAMPLES"	"TYPSAMPL"	"Sample collected:"	"SearchList"	"12"	"Stool"	"FALSE"	NA	"TRUE"	NA	NA
"2867"	"Registry - All"	"Biological Samples"	"Visit Form"	"SAMPLES"	"TYPSAMPL"	"Sample collected:"	"SearchList"	"13"	"Cheek swab"	"FALSE"	NA	"TRUE"	NA	NA
"2868"	"Registry - All"	"Biological Samples"	"Visit Form"	"SAMPLES"	"TYPSAMPL"	"Sample collected:"	"SearchList"	"14"	"Saliva"	"FALSE"	NA	"TRUE"	NA	NA
"2869"	"Registry - All"	"Biological Samples"	"Visit Form"	"SAMPLES"	"TYPSAMPL"	"Sample collected:"	"SearchList"	"15"	"Tissue biopsy"	"FALSE"	NA	"TRUE"	NA	NA
"2870"	"Registry - All"	"Biological Samples"	"Visit Form"	"SAMPLES"	"TYPSAMPL"	"Sample collected:"	"SearchList"	"16"	"Mitra Sample"	"FALSE"	NA	"TRUE"	NA	NA
"2871"	"Registry - All"	"Biological Samples"	"Visit Form"	"SAMPLES"	"TISSTYPE"	"Specify tissue type"	"SearchList"	"1"	"Lymph Node"	"FALSE"	NA	"TRUE"	NA	NA
"2872"	"Registry - All"	"Biological Samples"	"Visit Form"	"SAMPLES"	"TISSTYPE"	"Specify tissue type"	"SearchList"	"2"	"Brain"	"FALSE"	NA	"TRUE"	NA	NA
"2873"	"Registry - All"	"Biological Samples"	"Visit Form"	"SAMPLES"	"TISSTYPE"	"Specify tissue type"	"SearchList"	"3"	"Lung"	"FALSE"	NA	"TRUE"	NA	NA
"2874"	"Registry - All"	"Biological Samples"	"Visit Form"	"SAMPLES"	"TISSTYPE"	"Specify tissue type"	"SearchList"	"4"	"Muscle"	"FALSE"	NA	"TRUE"	NA	NA
"2875"	"Registry - All"	"Biological Samples"	"Visit Form"	"SAMPLES"	"TISSTYPE"	"Specify tissue type"	"SearchList"	"5"	"Skin"	"FALSE"	NA	"TRUE"	NA	NA
"2876"	"Registry - All"	"Biological Samples"	"Visit Form"	"SAMPLES"	"TISSTYPE"	"Specify tissue type"	"SearchList"	"98"	"Other"	"TRUE"	NA	"TRUE"	NA	NA
"2877"	"Registry - All"	"Biological Samples"	"Visit Form"	"SAMPLES"	"SMPCLDTC"	"Date of sample collection"	"DateTime"	NA	NA	NA	NA	"TRUE"	NA	NA
"2878"	"Registry - All"	"Biological Samples"	"Visit Form"	"SAMPLES"	"PRETREAT"	"Was the patient treated at the time of sample collection?"	"RadioButton"	"0"	"No"	"FALSE"	NA	"TRUE"	NA	NA
"2879"	"Registry - All"	"Biological Samples"	"Visit Form"	"SAMPLES"	"PRETREAT"	"Was the patient treated at the time of sample collection?"	"RadioButton"	"1"	"Yes"	"FALSE"	NA	"TRUE"	NA	NA
"2880"	"Registry - All"	"Biological Samples"	"Visit Form"	"SAMPLES"	"SAMPSTAT"	"Status as of the above date:"	"RadioButton (Vertical)"	"1"	"Stored at site/Frozen -80 degrees C"	"FALSE"	NA	"TRUE"	NA	NA
"2881"	"Registry - All"	"Biological Samples"	"Visit Form"	"SAMPLES"	"SAMPSTAT"	"Status as of the above date:"	"RadioButton (Vertical)"	"2"	"Stored at site/Frozen -20 degrees C"	"FALSE"	NA	"TRUE"	NA	NA
"2882"	"Registry - All"	"Biological Samples"	"Visit Form"	"SAMPLES"	"SAMPSTAT"	"Status as of the above date:"	"RadioButton (Vertical)"	"3"	"Shipped to Lab another facility"	"FALSE"	NA	"TRUE"	NA	NA
"2883"	"Registry - All"	"Biological Samples"	"Visit Form"	"SAMPLES"	"SHIPDEST"	"Shipping destination"	"SearchList"	"1"	"Cincinnati (U.S. samples)"	"FALSE"	NA	"TRUE"	NA	NA
"2884"	"Registry - All"	"Biological Samples"	"Visit Form"	"SAMPLES"	"SHIPDEST"	"Shipping destination"	"SearchList"	"2"	"Toronto (Canadian samples)"	"FALSE"	NA	"TRUE"	NA	NA
"2885"	"Registry - All"	"Biological Samples"	"Visit Form"	"SAMPLES"	"SHIPDEST"	"Shipping destination"	"SearchList"	"98"	"Other, specify"	"TRUE"	NA	"TRUE"	NA	NA
"2886"	"Registry - All"	"Biological Samples"	"Visit Form"	"SAMPLES"	"SHIPDTC"	"Date shipped:"	"DateTime"	NA	NA	NA	NA	"TRUE"	NA	NA
"2887"	"Registry - All"	"Steroids"	"Visit Form"	"STEROIDS"	"STEROID"	"Has the subject [ever: baseline/since last visit: follow-up] taken glucocorticoids (steroids) for the treatment of rheumatologic disease?"	"RadioButton"	"0"	"No"	"FALSE"	NA	"FALSE"	NA	NA
"2888"	"Registry - All"	"Steroids"	"Visit Form"	"STEROIDS"	"STEROID"	"Has the subject [ever: baseline/since last visit: follow-up] taken glucocorticoids (steroids) for the treatment of rheumatologic disease?"	"RadioButton"	"1"	"Yes"	"FALSE"	NA	"FALSE"	NA	NA
"2889"	"Registry - All"	"Steroids"	"Visit Form"	"STEROIDS"	"STEROID"	"Has the subject [ever: baseline/since last visit: follow-up] taken glucocorticoids (steroids) for the treatment of rheumatologic disease?"	"RadioButton"	"99"	"Unknown"	"FALSE"	NA	"FALSE"	NA	NA
